code,name,category_id,channel_id,unit_qty,layer_qty,pallet_layers,weight,height,unit_upc,gtin_14,company_id
1100048,6/7.3 oz Carrot Pesto,33,4,6,31,11,4.81,,864158000486,10864158000485,1
1100049,6/7.3 oz Tomato Pesto,34,4,6,31,11,4.71,,864158000493,10864158000491,1
1116701,6/16 oz Chicken Tortilla Bone Broth,35,4,6,31,11,,,850013167012,10850013167018,1
1116702,6/16 oz Coconut Chicken Bone Broth,35,4,6,31,11,,,850013167029,10850013167025,1
1116703,Coconut Curry Bone Broth Soup,36,4,6,31,11,,,850013167036,10850013167032,1
1116704,6/16 oz Lemon Chicken Bone Broth,35,4,6,31,11,,,850013167043,10850013167049,1
1116705,Chicken Miso Bone Broth Soup,36,4,6,31,11,,,850013167050,10850013167056,1
1116706,Chicken Pho Bone Broth Soup,36,4,6,31,11,,,850013167067,10850013167063,1
1116707,Chicken Cauliflower Bone Broth Soup,36,4,6,31,11,,,850013167074,10850013167070,1
1116708,West African Peanut Soup,36,4,6,31,11,,,850013167081,10850013167087,1
1116709,Roasted Garlic Soup,36,4,6,31,11,,,850013167098,10850013167094,1
1116710,Artichoke Pesto,33,4,6,31,11,,,850013167104,10850013167100,1
1116711,Pea Pesto,33,4,6,31,11,,,850013167111,10850013167117,1
1116712,Cranberry Chutney,34,4,6,31,11,,,850013167128,10850013167124,1
1116713,Peach Salsa,37,4,6,31,11,,,850013167135,10850013167131,1
1116714,Pineapple Salsa,37,4,6,31,11,,,850013167142,10850013167148,1
1116715,Chipotle Garden Salsa,37,4,6,31,11,,,850013167159,10850013167155,1
1116716,Summer Berry Salsa,37,4,6,31,11,,,850013167166,10850013167162,1
1116717,3-Pack Pesto Asst #1,33,3,1,31,11,,,850013167173,10850013167179,1
1116719,3-Pack Condiment Grill Pack,34,3,1,,,,,850013167197,10850013167193,1
1116720,Jazzy Cajun Dipping Sauce,38,4,6,31,11,,,850013167203,10850013167209,1
1116721,6/7.3 oz BBQ Smash Dipping Sauce,38,4,6,31,11,,,850013167210,10850013167216,1
1116722,6/7.3 oz Burger Joint Dipping Sauce,38,4,6,31,11,,,850013167227,10850013167223,1
1116723,6/7.3 oz Buckin' Buffalo Dipping Sauce,38,4,6,31,11,,,850013167234,10850013167230,1
1116724,Oh Sweet Dijon Dipping Sauce,38,4,,31,11,,,850013167241,10850013167247,1
1116740,Curry Up Tomato Cook Sce,39,4,6,31,11,,,850013167401,10850013167407,1
1116741,Coconut Lemongrass Cook Sce,39,4,6,31,11,,,850013167418,10850013167414,1
1116742,Chicken Cacciatore Cook Sce,39,4,6,31,11,,,850013167425,10850013167421,1
1116745,Sesame And You Ginger Cook Sce,39,4,6,31,11,,,850013167456,10850013167452,1
1116746,Garlicky White Wine Cook Sce,39,4,6,31,11,,,850013167463,10850013167469,1
